Por medio de este documento, yo, Patricio Estrella, ;Mediante de este documento, yo, Patricio Estrella, 
me comprometo con una misión de vital importancia ;me comprometo con esta misión de vital importancia 
para nuestra comunidad submarina. ;para nuestra querida comunidad submarina. 
Durante años, ;Toda mi vida, 
he vivido en la pacífica ciudad de Fondo de Bikini, ;he vivido en la tranquila ciudad de Fondo de Bikini, 
disfrutando de la pacifica vida en mi roca, ;disfrutando de pacificamente en mi roca, 
paseando por sus hermosas calles, ; paseando por sus preciosas calles, 
festejando con los vecinos, ;festejando junto a los vecinos, 
e ignorando por completo ;e ignorando en su totalidad 
como la dejadez estaba consumiendo nuestra ciudad. ; como la falta de cuidado estaba consumiendo nuestra ciudad. 
Sin embargo, ha llegado el momento de asumir ;No obstante, ha llegado el momento de asumir 
un papel más activo en el bienestar ;un papel más activo en el cuidado 
de nuestro hogar bajo el mar. ;de este nuestro hogar bajo el mar. 
Me comprometo a liderar un proyecto de limpieza ;Me comprometo a liderar un proyecto de limpieza 
de nuestros arrecifes de coral y a la conservación ;de nuestros arrecifes de coral y a la preservación 
de nuestra preciada flora y fauna marina. ;de nuestra querida flora y fauna marina. 
Nuestra hermosa ciudad ;Nuestra preciada ciudad 
se ha visto afectada por la contaminación ;se ha visto degradada por la contaminación 
y el descuido, ;y la falta de cuidado, 
y es hora de que tomemos medidas para protegerla. ;y es hora de que se tomen medidas para protegerla. 
Trabajaré incansablemente para reunir ;Trabajaré incansablemente para unificar 
a nuestros vecinos, organizaciones y voluntarios ;a nuestros vecinos, voluntarios y organizaciones 
dispuestos a unirse a esta causa. ;dispuestos a unirse a nuestra causa.  
Firmo este documento con determinación y la esperanza ;Firmo este escrito con determinación y la esperanza 
de que cada uno de nosotros pueda contribuir a la protección ;de que cada uno de nosotros pueda ayudar a la protección 
y preservación de Fondo de Bikini, ;y conservación de Fondo de Bikini, 
el lugar que todos llamamos hogar. ;lugar al que todos llamamos hogar. 
El futuro de nuestra ciudad depende de nuestras acciones, ;El futuro de esta ciudad depende de nuestras acciones, 
y estoy decidido a liderar el camino hacia ;y estoy decidido a liderar el trayecto hacia 
un futuro más limpio y brillante bajo el mar. ;un futuro más brillante y limpio bajo el mar. 
¡Hagámoslo juntos! ;¡Vamos allá! 
Firmado Patricio Estrella.; Firmado por Patricio Estrella.
